id,name,category,price,mrp,emoji
colgate_maxfresh_150g,Colgate MaxFresh Red Gel Toothpaste 150g,"Bath, Body & Personal Care",115,130,🪥
dettol_soap_3pack,Dettol Original Germ Protection Bathing Soap (3 Pack),"Bath, Body & Personal Care",140,155,🧼
dove_shampoo_340ml,Dove Intense Repair Hair Shampoo 340ml,"Bath, Body & Personal Care",280,325,🧴
nivea_body_lotion,Nivea Nourishing Body Milk Lotion 200ml,"Bath, Body & Personal Care",240,275,🧴
spigen_20w_charger,Spigen 20W Fast Type-C Wall Charger Adapter,Electronics & Tech Accessories,899,1499,🔌
boat_airdopes_141,boAt Airdopes 141 True Wireless Earbuds,Electronics & Tech Accessories,1299,4490,🎧
portronics_type_c_cable,Portronics Konnect L 3A Type-C Fast Charging Cable 1.2m,Electronics & Tech Accessories,199,499,⚡
mi_10000mah_powerbank,Mi Power Bank 3i 10000mAh 18W Fast Charging,Electronics & Tech Accessories,1299,2199,🔋
instacuppa_frother,InstaCuppa Electric Milk Frother & Hand Mixer,Home & Kitchen Utilities,799,1200,⚡
portronics_kitchen_scale,Portronics Digital Kitchen Weight Scale (1g to 10kg),Home & Kitchen Utilities,399,999,⚖️
pigeon_electric_kettle,Pigeon 1.5L Stainless Steel Electric Kettle,Home & Kitchen Utilities,649,1195,🫖
portronics_phone_stand,Portronics Multi-Angle Desktop Phone Stand,Home & Kitchen Utilities,249,699,📱
borosil_fondue_bowl,Borosil Microwave Safe Glass Dessert & Fondue Bowl,Home & Kitchen Utilities,299,499,🥣
surf_excel_matic_top,Surf Excel Matic Top Load Washing Powder 1kg,Cleaning & Household Essentials,215,235,🧺
colin_surface_cleaner,Colin Glass and Surface Cleaner Spray 500ml,Cleaning & Household Essentials,105,120,🧹
vim_dishwash_liquid,Vim Gel Lemon Dishwash Liquid Bottle 500ml,Cleaning & Household Essentials,125,140,🧽
origami_tissue_box,Origami 2-Ply Facial Tissue Box (200 Sheets),Cleaning & Household Essentials,95,110,🧻
pampers_baby_wipes,Pampers Fresh Clean Baby Wipes (80 Sheets),Baby Care,185,225,👶
pampers_diapers_m,Pampers All-in-One Pants Diapers Medium (30 Count),Baby Care,540,649,👶
sebamed_baby_lotion,Sebamed Baby Gentle Body Lotion 200ml,Baby Care,540,600,🍼
pedigree_dog_food_1kg,Pedigree Adult Dry Dog Food Chicken & Vegetables 1.2kg,Pet Care,380,410,🐶
whiskas_cat_wet_food,Whiskas Wet Cat Food Ocean Fish (4 Pack x 85g),Pet Care,195,220,🐱
ors_apple_drink,Enerzal ORS Apple Electrolyte Drink 200ml,"Health, Pharma & Wellness",32,35,🧃
volini_spray_50g,Volini Pain Relief Spray 50g,"Health, Pharma & Wellness",165,185,💊
dettol_plaster_strips,Dettol Adhesive Antiseptic Bandages (10 Strips),"Health, Pharma & Wellness",30,35,🩹
classmate_notebook,Classmate Pulse Long Spiral Notebook (200 Pages),"Stationery, Books & Games",90,100,📓
parker_gel_pen,Parker Vector Stainless Steel Gel Pen,"Stationery, Books & Games",275,300,🖊️
uno_cards_classic,Mattel UNO Classic Card Game,"Stationery, Books & Games",149,199,🃏
orbit_spearmint_gum,Orbit Spearmint Sugarfree Chewing Gum 22g,Paan & Party Essentials,50,50,🍬
catch_club_soda_750ml,Catch Club Soda 750ml,Paan & Party Essentials,20,20,🥤
licious_chicken_breast,Fresh Boneless Chicken Breast 400g,"Meat, Fish & Eggs",245,275,🍗
